"[事業主体名]01-001北海道函館市[浄水場名]01-00赤川低区浄水場[水源名]笹流貯水池?松倉川[原水の種類]ダム直接?表流水(自流)[1日平均浄水量]25,745 (m3)原水","[事業主体名]01-001北海道函館市[浄水場名]02-00赤川高区浄水場[水源名]新中野貯水池[原水の種類]ダム直接[1日平均浄水量]32,869(m3)原水",,,,,,,,,,
"最  高",最  低,平  均,回 数,最  高,最  低,平  均,回 数,最  高,最  低,平  均,
140,1,25,24,200,0,22,24,240,1,35,24
34.0,0.0,4.3,24,390.0,0.0,26.0,24,550.0,0.0,40.0,24
"",,,,,,,,,,,
"<0.00010",<0.00010,<0.00010,2,<0.00010,<0.00010,<0.00010,2,<0.00010,<0.00010,<0.00010,2
"<0.00005",<0.00005,<0.00005,2,<0.00005,<0.00005,<0.00005,2,<0.00005,<0.00005,<0.00005,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.005",<0.005,<0.005,2,<0.005,<0.005,<0.005,2,<0.005,<0.005,<0.005,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
0.24,0.08,0.12,12,0.20,0.04,0.09,12,0.25,0.06,0.11,12
0.05,<0.05,<0.05,2,0.06,0.06,0.06,2,<0.05,<0.05,<0.05,2
"<0.1",<0.1,<0.1,2,<0.1,<0.1,<0.1,2,<0.1,<0.1,<0.1,2
"<0.0002",<0.0002,<0.0002,2,<0.0002,<0.0002,<0.0002,2,<0.0002,<0.0002,<0.0002,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"<0.001",<0.001,<0.001,2,<0.001,<0.001,<0.001,2,<0.001,<0.001,<0.001,2
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,,,,,
"<0.01",<0.01,<0.01,2,<0.01,<0.01,<0.01,2,<0.01,<0.01,<0.01,2
0.81,0.02,0.19,24,1.70,0.25,0.46,24,0.77,0.03,0.13,24
0.58,0.01,0.10,24,0.90,0.07,0.20,24,0.57,0.02,0.10,24
"<0.01",<0.01,<0.01,2,<0.01,<0.01,<0.01,2,<0.01,<0.01,<0.01,2
